Entity,Code,Year,Road marking,Marine coatings,Personal care products,Industrial machinery,Electronics,Textile sector,Consumer and institutional products,Transportation,Other,Building and construction,Packaging,Road marking,Marine coatings,Personal care products,Industrial machinery,Electronics,Textile sector,Consumer and institutional products,Transportation,Other,Building and construction,Packaging
World,OWID_WRL,2000,349000,290000,13000,1434000,9321000,21731000,24474000,30967000,34694000,38897000,71837000,349000,290000,13000,1434000,9321000,21731000,24474000,30967000,34694000,38897000,71837000
World,OWID_WRL,2001,357000,297000,13000,1466000,9542000,22355000,25060000,31795000,35538000,39820000,73664000,357000,297000,13000,1466000,9542000,22355000,25060000,31795000,35538000,39820000,73664000
World,OWID_WRL,2002,380000,316000,14000,1557000,10147000,23887000,26654000,33908000,37812000,42341000,78464000,380000,316000,14000,1557000,10147000,23887000,26654000,33908000,37812000,42341000,78464000
World,OWID_WRL,2003,396000,329000,15000,1618000,10562000,24985000,27751000,35399000,39383000,44072000,81814000,396000,329000,15000,1618000,10562000,24985000,27751000,35399000,39383000,44072000,81814000
World,OWID_WRL,2004,421000,350000,16000.001,1717000,11228000,26686000,29506000,37737000,41888000,46843000,87116000,421000,350000,16000.001,1717000,11228000,26686000,29506000,37737000,41888000,46843000,87116000
World,OWID_WRL,2005,433000,360000,17000,1762000,11540000,27556000,30332000,38894000,43074000,48135000,89684000,433000,360000,17000,1762000,11540000,27556000,30332000,38894000,43074000,48135000,89684000
World,OWID_WRL,2006,460000,383000,18000,1869000,12262000,29417000,32236000,41443000,45793000,51134000,95452000,460000,383000,18000,1869000,12262000,29417000,32236000,41443000,45793000,51134000,95452000
World,OWID_WRL,2007,486000,404000,19000,1969000,12941000,31191000,34029000,43860000,48356000,53952000,100909000,486000,404000,19000,1969000,12941000,31191000,34029000,43860000,48356000,53952000,100909000
World,OWID_WRL,2008,463000,385000,18000,1872000,12324000,29842000,32415000,41886000,46076000,51366000,96262000,463000,385000,18000,1872000,12324000,29842000,32415000,41886000,46076000,51366000,96262000
World,OWID_WRL,2009,475000,395000,19000,1915000,12633000,30729000,33233002,43050000,47253000,52633000,98835000,475000,395000,19000,1915000,12633000,30729000,33233002,43050000,47253000,52633000,98835000
World,OWID_WRL,2010,515000,429000,21000,2066999.9,13699000,33580000,36041000,46863000,51246000,57087000,107333000,515000,429000,21000,2066999.9,13699000,33580000,36041000,46863000,51246000,57087000,107333000
World,OWID_WRL,2011,536000,446000,22000,2139000,14240000,35171000,37465000,48897000,53273000,59350000,111730000,536000,446000,22000,2139000,14240000,35171000,37465000,48897000,53273000,59350000,111730000
World,OWID_WRL,2012,556000,463000,23000,2207000,14766000,36743000,38849000,50890000,55242000,61545000,116018000,556000,463000,23000,2207000,14766000,36743000,38849000,50890000,55242000,61545000,116018000
World,OWID_WRL,2013,579000,483000,24000,2288000,15383000,38564000,40476000,53214000,57555000,64123000,121045000,579000,483000,24000,2288000,15383000,38564000,40476000,53214000,57555000,64123000,121045000
World,OWID_WRL,2014,589000,492000,24000,2315000,15643000,39503000,41161000,54310000,58528000,65204004,123263000,589000,492000,24000,2315000,15643000,39503000,41161000,54310000,58528000,65204004,123263000
World,OWID_WRL,2015,600000,500000,25000,2427000,15942000,40518000,42235000,55330000,60280000,66882004,128013000,600000,500000,25000,2427000,15942000,40518000,42235000,55330000,60280000,66882004,128013000
World,OWID_WRL,2016,607000,501999.97,26000,2419000,15903000,41251000,42938000,56049000,61139000,68234000,130901990,607000,501999.97,26000,2419000,15903000,41251000,42938000,56049000,61139000,68234000,130901990
World,OWID_WRL,2017,630000,509000,26000,2495000,16264000,42036000,44026000,57734000,62728000,71105000,134632000,630000,509000,26000,2495000,16264000,42036000,44026000,57734000,62728000,71105000,134632000
World,OWID_WRL,2018,657000,524000,27000,2599000,16815000,42869000,45307000,60075000,64575996,74301000,138448000,657000,524000,27000,2599000,16815000,42869000,45307000,60075000,64575996,74301000,138448000
World,OWID_WRL,2019,682000,541000,27000,2683000,17305000,43875000,46662000,62165000,66315004,76893000,142598990,682000,541000,27000,2683000,17305000,43875000,46662000,62165000,66315004,76893000,142598990
